CHURCHILL COPPER ONE,1191618
CASTLE ROCK 6 NORTH,109A4NG
LADNER PORT GUICHON,1104484
PRINCE GEORGE MASSEY AUTO,1096454
PRINCE GEORGE,1096435
KITSAULT MILLSITE,1074328
GALORE CREEK,1203046
QUICK,1076638
QUESNEL A,1096630
NORTH VANCOUVER BLUE RIDGE,110NFEQ
YOUBOU SCHOOL,1019014
HOLLYBURN RIDGE,1103510
WEST VANCOUVER AUT,1108824
ABBOTSFORD EAST,1100035
ALDERGROVE,1100240
DENMAN ISLAND,1022430
TUMBLER RIDGE,1188297
DEZADEASH,2100430
WATSON LAKE A,2101201
KITSAULT TOWNSITE,1074331
GANG RANCH,1093052
WHITE ROCK CAMPBELL SCIENTIFIC,1108910
BLACKCOMB MOUNTAIN 1860,1100879
WILLOW RIVER,1098954
FORT NELSON GARDINER CR,1192945
DOME CREEK,1092519
MCBRIDE RIVER,1204958
BLACK CREEK SE,1020881
LASQUETI ISLAND,1024590
MT WASHINGTON,1025230
PINE ISLAND,1026170
MOOSE CREEK,6105395
WINTER HARBOUR,1038964
BUCCANEER BAY,1041100
OOTSA L SKINS L SPILLWAY,1085835
TATLA LAKE BCFS,1088009
PORT MOODY CENTRE,11063L2
PERRY SIDING,1146168
KINGCOME INLET,1064227
WILLIAMS LAKE ESLER 2,109H9M2
CHINOOK COVE POSBY LAKE,1161592
MONTE CREEK WEST,116NJRF
MT WASHINGTON UPPER,1025237
CHILLIWACK WESTVIEW,1101577
PENNASK LAKE LODGE,1126135
HIGHLAND VALLEY LORNEX,1123469
PROPHET RIVER,1196543
SANDSPIT AWOS,1057055
ASHCROFT,1160510
WARFIELD RCS,1148705
CROFTON,1012190
CULTUS LAKE,1102221
N VANCOUVER CAPILANO,1105655
WHONNOCK THORN HILL,1108925
QUESNEL,1096600
BIRCHBANK,1140877
COBBLE HILL,1011743
NEEDLES WHATSHAN PH,1145420
CHILLIWACK YALE RD EAST,1101580
REIDVILLE,1106720
WHISTLER MOUNTAIN TIMING FLATS,1100883
NANAIMO A,1025369
PEACHLAND,1126071
CANIM LAKE,1091305
FORT FRASER 13S,1092905
MAMIT LAKE,1124860
BIG OLIVER CREEK,1070873
TORONTO HIBISCUS COURT,6158585
CLYDE RIVER A,2400804
TORONTO MALVERN,6158738
TORONTO WEST HILL,6158784
LATULIPE,708DBCE
LANSDOWNE HOUSE,6014350
BARRIE CKVR,6110555
HARRINGTON FOREST FARM,7032997
ILE ROUGE,7043BP9
GRIMSBY ROYAL OAK,6133059
HAMILTON RBG,6153300
BORDEN STP,6110HK7
LONDON CS,6144478
TORONTO ELLESMERE,6158520
SHIPSHAW,7068160
BLACK LAKE,7020808
PORT DALHOUSIE,6136626
DALKEITH,6101960
DEALTOWN,6131970
SARNIA,6127513
MATTAGAMI PATROL,6065020
BURLINGTON,6151053
GRIMSBY,6133047
KATATOTA ISLAND (AUT),604M002
ST CATHARINES BROCK U,6137290
BRUCES MILL,615J02G
BIRD ROCKS,7050790
TORONTO GLENDALE,6158550
THUNDER BAY BURWOOD,6048266
LOWER STURGEON,6074630
LES FONDS,7054296
OTTAWA,6105887
CARP,6101260
PETAWAWA NAT FORESTRY,6106400
DURHAM,6112171
SOUTHEAST SHOAL (AUT),6137937
HAGERSVILLE,6133120
QCMR MILE 56,7046296
LAC STE CROIX,7063690
BURK'S FALLS,6111050
MONT LOUIS,7055200
LAC MEGANTIC 2,7023677
WOBURN,7028946
IGLOOLIK,2402540
LUCAN,6144665
BEATRICE 2,6110606
SMITHFIELD CDA AUTOMATIC CLIMATE STATION,6157832
LORNEVILLE,6164615
CHAPLEAU 2,6061359
POINT PELEE CS,613P001
BELLE PLAGE,7070595
MARIEVILLE,7024627
SAINT-POLYCARPE,7016474
DACRE,6101943
HUDSON HEIGHTS,7013200
STE AGATHE DES MONTS,7036762
CLIFTON RIVER,7021718
DALHOUSIE STATION,701A9EC
MARATHON AIRPORT,6044961
RUEL,6067211
SABREVOIS,7026734
AYR,6140437
HEBERTVILLE,7063040
CAPE WHITTLE,7041100
OTTAWA BRITANNIA,6105960
BARRIERE SUD LA DORE,706047H
CAMPBELLVILLE,6151141
BALLANTRAE,6150460
ST CATHARINES,6137285
L'ETAPE,7015791
TRAFALGAR,8205900
KINGSLEY IHD,8102316
BOUCTOUCHE CDA CS,8100593
ACADIA FOREST EXP ST,8100100
NEWCASTLE,8103600
GOUNAMITZ RIVER,8101850
CARTWRIGHT A,8501101
RAPIDE-SEPT,7086400
MONT JOLI A,7055121
GLENORA RS,6152837
ORO WAM,6115856
PARC NATIONAL DES PINGUALUIT,7115800
ST GUY,7057304
ST ODILON,7027593
ST FELICIEN,7067240
ESSEX,6132344
MIDLAND HURONIA A,6115130
WINCHESTER,6109517
GRANTON,6142993
STE PERPETUE,7057650
LAUZON,7024254
DOAKTOWN,8101200
TRENTON MUNICIPAL A,8205950
LOUISBOURG,8203163
DIGBY PRIM POINT,8201605
HARRISTON,614CCNR
DOG RIVER,6042045
WHITE LAKE FISH CULTURE STATION,6109503
OKA,7015730
HARP LAKE,6113358
AMQUI,7050140
RIVIERE VERTE OUEST,7016675
DOMVILLE,6102054
BGE C LAC CHATEAUVERT,7070451
VAUDREUIL,7018697
STONY LAKE SANDOR FARM,6168070
LA SALLE,7024118
GRAND VALLEY WPCP,6142991
MATAMEK,704DFLR
BEETON,6110661
CHATHAM KENT,6131414
HAUTERIVE,704C00H
QUAQTAQ A,7116273
PORT WELLER (AUT),6136699
BRANTFORD BRANT PARK,6140948
LITTLE CURRENT,6094449
LA TUQUE,7074240
TORONTO TABER PARK,61587PR
SONYA SUNDANCE MEADOWS,6168100
VALLEE JONCTION,7028676
HAYSVILLE,6143395
CAPE JOHN,8200650
LAMEQUE,8102335
SPRINGHILL,8205215
KEBLE,8202580
BLUE MOUNTAIN,8200587
CHAIN LAKE,8200800
LAC CACHE,7093585
CAMP BORDEN A,6111145
DALKEITH PYM,6101962
LONDON,6144470
BLUE ACTON,6150HA7
CAMP DES PINS,709A0J4
ELLIOT LAKE DENISON,6052260
THUNDER BAY POMBER,604H26A
SHIRLEY BAY,6107699
STIRLING,6158051
WELLAND-PELHAM,6139449
GASPE A,7052602
CHURCHILL FALLS A,8501131
STELLARTON,8205400
HAMMONDS PLAINS,8202270
HEAD JEDDORE,8202337
SOUTH MOUNTAIN,8205185
STE MARTINE,7027540
CANNING,8200638
TORONTO HUMBER SUMMIT,6158647
DALHOUSIE L HIGH FALLS,6101955
ST DAMASE DE MATANE,7057089
PELEE ISLAND A,6136336
COBOCONK,6161682
HANOVER,6113329
ROUYN,7086718
LAC 76475347 SITE 1,7093707
SCHEFFERVILLE A,7117823
DOUGLAS POINT,6122078
TARA,6128206
DEBERT,8201390
LAKE HARBOUR,2402681
POINT ESCUMINAC (AUT),8104103
CAMDEN IHD,8200635
STILLWATER SHERBROOKE,8205601
CHARLO AUTO,8100885
GREAT VILLAGE,8201980
POCKWOCK LAKE,8204453
MUSKOKA,6115529
HORNBY,6153540
PETROLIA ROKEBY,6126498
AMHERSTBURG,6130257
RIVIERE A PIERRE,7016560
LA COURVILLOISE,701LF83
BAIE JOHAN BEETZ,7040MMN
DOLBEAU,7062020
DELTA,6101986
SARNIA WATERWORKS,6127527
DAYTON,8201336
HAMTOWN CORNER,8102110
WOLFE LAKE,8105595
RIVER JOHN,8204578
POINT LEPREAU CS,8104201
DUNGARVON RIVER,8101272
WOODSTOCK NEWBRIDGE,8105603
MAPLETON,8102566
HOLLOW BRIDGE,8202400
ST ALBERT,3015670
POINT LEPREAU,8104200
ST JUSTIN,7017435
CAP-TOURMENTE,7041JG6
ONATCHIWAY,7065738
CHATHAM WPCP,6131415
OAKVILLE GERARD,6155PD4
TORONTO ETOBICOKE,6158525
MOUNTSBERG,6145516
MANITOU FALLS,6044890
BEETON WATSON,6110667
STANSTEAD,7028280
CHESTERVILLE 2,6101502
WATERFORD,6139356
THUNDER BAY AIRPORT MAINTAIR,6048270
CAP MADELEINE,7051160
ST PAULIN D'ALIBAIRE,7057645
ST MALO D AUCKLAND,7027520
TORONTO HIGH PARK,6158629
WOODLAWN,6109590
ROUYN A,7086720
TORONTO LESLIE EGLINTON,6158732
HAMILTON GAGE PARK,6153238
BON CONSEIL EXP ST,7020820
BEAVERTON,6110633
KINGSVILLE MOE,6134190
STE HELENE DE CHESTER,7027306
OBA,6055754
TORONTO HIGHLAND CREEK,6158598
SAWYERVILLE,7027800
NORTH BAY A,6085701
COTTAM,6131910
SANIKILUAQ A,2303660
KIMMIRUT A,240KFQJ
BELLE RIVER,6130681
POND INLET A,2403201
CAMP TAMARACOUTA,7031017
IQALUIT AWOS,2402591
CAPLAN,7051120
MALLORYTOWN GRAHAM LAKE,6104880
COOKSVILLE,6151860
REDICKVILLE,6146939
BARRIE,6110549
NORTH LAKE,6045711
BARRAGE TEMISCAMINGUE,7080468
BALA,6110458
MANSEAU,7024615
ST JEAN DE BREBEUF DUGAL,7057393
HALIBURTON 3,6163171
COTE ST LUC,7021945
MONTREAL RIVER,6075379
MAPLE SHERWOOD EAST,6154951
THETFORD MINES,7028440
GODERICH,6122845
GRAND BEND,6122985
IQALUIT A,2402596
ARMSTRONG,1160450
KAPUSKASING A,6073976
GUELPH ARBORETUM,6143069
NEWTON,6145621
CHATHAM 2,6131388
NORWOOD,6165716
WAWA A,6059407
CRANBOURNE,7021952
LYN,6104723
FONTHILL,6132435
MYRT LAKE,6045541
BARRIERE QUINN,7030475
LAC PARENT,703CFQD
JONQUIERE,7063370
BOLTON SPS,6150825
ST PASCAL,7057625
MACDIARMID,6044735
LA GRANDE IV,7093GJ5
ISLAND FALLS,4063560
ST CLEMENT,7057024
ARUNDEL,7030310
VAN WAGNERS BEACH,6159133
ALDERSHOT,6150135
TORONTO AGINCOURT,6158363
OTTAWA ALTA VISTA,6105913
MATAGAMI (MILLE 42),709DFCH
COLLINGWOOD A,6111794
BURY,7020885
RIDGETOWN,6137147
ST JANVIER,7017386
ST GEDEON,7027277
MONT WRIGHT,7045340
CASCAPEDIA,7051188
ST ADRIEN D IRLANDE,7026754
KATRINE,6114005
RIDEAU CANAL BOBS LAKE,6107017
SAULT AU MOUTON,704GG90
CODRINGTON,6151725
RAMSAY,6066873
L'ANNONCIATION,7034040
RAMSEY,6066875
WASHAGO,6119325
CHIBOUGAMAU A,7091401
MADAWASKA,6084770
WESTERN ISLANDS,6119452
ALGONQUIN PARK WEST,6080193
SHELTER BAY,1147250
APPLETON,6100285
TORONTO KEELE-FINCH,6158718
OTTAWA ROCKCLIFFE A,6106100
OAKVILLE GLEN ABBEY,6155PM4
ROUYN MCWATTERS,708FGB0
FORT ERIE,6132470
ST MATHIEU LAPRAIRIE,7027560
TORONTO BUTTONVILLE A,6158409
RIGAUD 2,7016472
WASKAGANISH A,7098898
SHERBROOKE (UNIVERSITE),7028128
VALCOURT,7028580
STANHOPE,8300590
LAC MARTEL,7073672
OSHAWA,6155875
FENELON FALLS,6162375
MOOSONEE AWOS,6075431
ST JEAN,7027390
NICOLET,7025440
MILTON SOUTH,615EAQG
ELMIRA,6142275
LABRIEVILLE B2,7043542
ORILLIA BRAIN,6115811
ST PAULIN,7017640
MATTAWA,6085023
CAMERON FALLS (AUT),6041110
STE THERESE OUEST,7017755
HANNON,6153328
SLATE ISLAND,6047810
SALEM,6147410
FRANKLIN CENTRE,7022560
CHUTE HEMMINGS,7021580
BAIE ST PAUL,7040446
ALBION FIELD CENTRE,6150103
DORION TCPL 70,6042067
HEART LAKE,6153410
PORT DALHOUSIE CORBETT,6136628
BURK'S FALLS 2,61110M6
CALMAR TOWNSITE,3011136
BATTLE HEADWATERS,3010540
POTHOLE MCINTYRE,3045293
ATMORE,3060403
NITON JUNCTION CDA EPF,3064810
FREEMAN RIVER,306BGCQ
CALLING LAKE RS,3061117
SOUTH ESK,3056055
PLEASANT VIEW,3065200
ROUND HILL LO,3065560
FORT RELIANCE (AUT),2201903
WINTERLAND,8404240
PICCADILLY,8402945
LOOKOUT BROOK,8402588
EDMONTON CITY CENTRE A,3012208
OLDS ERICKSON,302M920
CHIEF CUSTOMS,3051545
WHITECOURT,3067371
MOULD BAY CS,250M001
IRONSTONE LO,3053505
CLINE LO,30516F5
NEWBROOK NORTH,3014803
BOW VALLEY,3050778
UPR PARKER RIDGE,3056657
PEAVINE,3065080
LA COREY RS,3083725
FORT RESOLUTION A,2202000
BROOKS ONE TREE,3020864
HELDAR,3063130
PLACENTIA JUNCTION,8402957
ARGENTIA A,8400100
HARBOUR GRACE,8402076
THORNLEA T.B.,8403860
HAYS,3033080
RASPBERRY LO,3055410
CEREAL,3021460
PINCHER CREEK,3035201
ANTLER HILL,3020250
WASKATENAU,3016958
EDMONTON CLOVERBAR,3012232
TANGENT,3076363
THREE CREEKS RS,3076470
CHAIN LAKES RS,3031476
WARE,1188696
INUVIK CR10,2202569
BRIGHTVIEW,3010830
DAWSON CREEK LWIS,1182287
WIMBORNE GAS PLANT,3027580
PEACE R SHAFTSBURY,3075055
WINTERBURN KOZAK,3017606
PEKISKO,3055120
GANDER INTL A,8401703
FOGO,8401601
CAPE RACE (AUT),8401000
ISLE AUX MORTS,8402450
DOYLES,8401EK4
ST ALBANS,5012540
DRUMHELLER ANDREW,3022136
DEVONA,3052069
BANFF,3050520
ANSELMO,3060237
CRAIGMYLE,3021940
SNEDDON CREEK RS,307S002
CONSORT CDA EPF,3011820
DOGRIB CREEK,305B09K
COWLEY OLIN CREEK,3031926
VERMILION UNION,3016810
RED DEER,3025441
ALLIANCE,3010160
BANFF CR10,3050522
HELMCKEN ISLAND,106CDL0
PARKSVILLE NORTHWEST,1025975
PEACHLAND TREPANIER CR,1126080
KAMLOOPS,1163779
NICOLA LAKE W END,1125590
PRINCE RUPERT AWOS,1066483
GLENEMMA,1123195
CLEARWATER CANDLE CRK,116A655
NORTH BURNABY UNION,1105627
GAMBO,8401650
LETHBRIDGE,3033879
WHITBOURNE T.B.,8404235
MILLERTOWN RCS,8402757
COMFORT COVE,8401259
POINT LEAMINGTON,8402966
HOPE BROOK,8402383
MARY'S HARBOUR,850B5R1
FORDING RIVER COMINCO,1152899
TURIN,3036618
WHITESAND AFS,3077498
BRISCO,1171020
WHITECOURT A,3057376
FT STEELE DANDY CRK,1153034
LAMERTON,30237FM
GHOST RS,3052780
FORT MACLEOD EXP ST 2,3032686
BRULE BLACK CAT,3060903
LAVOY,3013770
KAMLOOPS CHERRY CREEK,1163814
KISPIOX,1074276
TAPPEN FORD ROAD,1167982
MARYSTOWN,8402592
ST JOHN'S WEST CDA,8403600
CAPE BROYLE,8400850
PARADISE,8402R20
CAMROSE,3011239
GARDINER CREEK,305B769
WATT MOUNTAIN LO,3077250
CLEARDALE,307JF5R
CARROT CREEK,3061355
HORBURG,301C3D4
DEMPSTER 177,2100412
TAPPEN NORTH,1167984
POINTER ISLAND,1066202
TELKWA,1078070
YAHK,114R00A
CROWSNEST CREEK,30519N0
HORSE LAKE,1163595
BAMFIELD,1030600
SAGONA ISLAND,8403255
TREPASSEY,8403970
BUCHANS,8400699
DEER LAKE A,8401502
MILLERTOWN,8402755
SOUTH BROOK PASADENA,8403693
FORT STEELE,1153033
ALLIANCE SOUTH,3010175
VAUXHALL CDA CS,3036682
HIGHWOOD HOUSE,3053249
BRETON TOWN,3010817
BURWASH A,2100181
HOPE SLIDE,1113580
BLANCHARD RIVER,2100163
SALMO BCFS,1146944
SHUSWAP FALLS,1167260
SQUAMISH AIRPORT,10476F0
STRATHCONA PARK LODGE,10277GN
BEAVER LAKE,1010774
CYPRESS BOWL NORTH,1102255
VANCOUVER UBC,1108487
NAVER CREEK,1095410
HAWKE'S BAY,8402078
TWILLINGATE,8404000
DARWELL,3011RED
HOUSE MOUNTAIN LO,3063347
BOW SUMMIT (PC),305A002
FOREMOST AGDM,3032642
ELKFORD,1152653
JENNER,3023560
CAPE PEEL WEST,2400697
REA POINT,2403450
HEMARUKA,3013132
LLOYDMINSTER NORTH,3013963
HATIN LAKE,12033M0
ROY,1066900
NASS RIVER,1075385
FORT NELSON,1192948
HOLBERG CCR,1033481
GRAND FORKS A,1133271
NELSON CS,1145M29
LANGARA,1054500
LANGFORD LAKE,1014530
STETTLER,3016120
BLUEBERRY MTN CDA EPF,3070720
ELK POINT,3012280
PARKER RIDGE,8103825
TURIN EXP ST,3036620
SASKATOON MOUNTAIN,3075760
KINSELLA RESEARC STATION,3013647
MOOSE WALLOW,3064657
YATES LO,3077678
BONNIE VIEW,3040735
DAWSON CREEK,1182280
DEER MOUNTAIN LO,3062020
SQUAMISH FMC CHEMICALS,1047662
IRON CREEK,2100650
MILL BAY KILMALU,1015134
BELLA COOLA BC HYDRO,1060842
THOMPSON NRC,5062923
HOLLAND,5021302
ATIKOKAN (AUT),6020LPQ
CONDIE,4011640
DEADWOOD AGCM,3071957
STRATHMORE EAST,3036208
SUNDRE A,3026KNQ
EDMONTON VILLENEUVE A,3012229
LUNNFORD,3064085
SNARE RAPIDS,2203700
FORT VERMILION CDA,3072720
FT MCMURRAY,3062695
STURT POINT NORTH,2303831
COX HILL,3051932
MILDRED LAKE,3064528
BARONS EXP ST,3030530
JOHN WAYNE PONDEROSA,307CE64
RAINBOW RS,3075349
THREE HILLS TOWN,3026487
ST. LINA AGCM,3015673
HUMBOLDT,4013400
PIERCELAND EXP ST,4066106
SANDY LAKE,6017400
FORT HOPE,6012490
REINDEER LAKE,5062350
BLAINE LAKE,4050770
INGENIKA POINT,1183651
GRANDE LO,3062905
HAY RIVER CLIMATE,2202402
THICKWOOD LO,3066380
PINCHER CRK SPRINGRIDGE,3035219
MIRROR LANDING RS,3064580
HIGH RIVER,3033240
JOHNSON POINT A,2502657
WAINWRIGHT CR10,3016929
PINCHER CREEK A,3035202
IRON SPRINGS AGDM,3033498
ADEN,3040049
THREE HILLS EAST,3026484
ANSELL LO,3060235
LLOYDMINSTER,4044558
CADOGAN AGCM,3010992
THREE HILLS,3026480
INVERMERE 2,1153656
REVELSTOKE,1176750
INUVIK CDA,2202580
BROCKET AGDM,3030830
GOODFARE CDA EPF,3072840
WASECA RCS,4048521
FORT FRANCES FORESTRY,6022487
KELSEY HYDRO,5061423
MOOSE MOUNTAIN PARK,4015341
WHISKEY JACK,5063148
CARROLL 2W,50105ED
TOMPKINS,8403870
CHETWYND A,1181513
LITTLE PADDLE HEADWATERS,3063R2L
KAKWA LO,3073585
WARNER,3046950
SWEETGRASS LANDING,3076330
VILNA,3016850
REDCLIFF,3035434
MOUNTAIN VIEW BIRDSEYE,3054722
JARVIE,3063516
PONTON LO,3075285
ACADIA VALLEY EXP ST,3020020
GOLDSTREAM RIVER,1173242
HUDSON BAY(AUT),4083324
VAL MARIE SOUTHEAST,4038412
KEY LAKE,4063755
OUTLOOK 2,4055722
STRATTON,6028125
FRENCHMAN BUTTE,4042760
HOLBEIN,4053266
SASKATOON 2,4057172
ERIKSDALE 1,5040896
GOLDEN PRAIRIE,4022936
STRATTON ROEN,6028127
DAHINDA,4012050
HARTNEY,5011282
BOW ISLAND IRRIGATION AGDM,3030772
MCLEOD LAKE,1185020
DRAYTON VALLEY,3012115
FLATTOP LO,3062630
POUCE COUPE MTN VIEW,1186352
IRVINE AGCM,3033550
LUCKY STRIKE,3044070
FORGET ME NOT MOUNTAIN,30526EL
PINE POINT,2203101
BLINDMAN,3020715
YOHO NAT PARK FIELD,1179007
PRAIRIE CREEK RS,3015295
EDMONTON,3012195
PORCUPINE RS,3055291
MANNING AGDM,3074190
SLAVE LAKE HQTRS,3066003
NEW BRIGDEN,3014785
BUFFALO NARROWS (AUT),4060983
FENWOOD,4012483
PORCUPINE PLAIN 2,4086161
WHITE HORSE PLAINS,502LA48
HODGSON 3,5031310
GIFT LAKE LO,3072783
COUTTS EXP ST,3041910
ARRAS,1180490
YELLOWKNIFE HYDRO,2204200
LAMBERT CREEK LO,3073764
ELBOW RS,3052270
WAIPAROUS,3056213
ESTHER 1,301B460
DUCKWORTH FARM,303BJDL
POLL HAVEN AFS,3055237
SHAUNAVON 2,4027485
LIBERTY,4014360
EDWIN,5010859
FORT CHIPEWYAN,3072657
CAMROSE 2,3011241
PINE RIDGE GEN,301E2B2
BERLAND LO,3060630
EDMONTON CALDER,3012203
GADSBY,3012760
IMPERIAL LO,3063433
BOW ISLAND,3030768
DEWBERRY AGCM,3012073
ENDIANG,3012425
SEBA LANGLEY,3065792
COLOMAC MINE,2200822
LIMESTONE RIDGE,3053908
BERNY,3060633
RIVERCOURSE AGCM,3015501
CALENDULA SIBBALD,3021010
HIGH LEVEL A,3073146
THE PAS CDA EPF,5052896
FISHER BRANCH,5030916
GLENBORO,5011051
BELLE PLAINE,4010568
KENORA TCPL 49,6034077
NEW SAREPTA AGCM,3014795
YOHO NP WAPTA LAKE,117900R
YELLOWHEAD LO,3067680
RAMPART RIVER,2203390
HALKIRK,3012998
KEG RIVER LARSEN,3073643
YOUNGSTOWN AGCM,3017705
EDMONTON SOUTH CAMPUS,3012220
BASSANO AGCM,3030540
ALSASK,4040120
HUDSON HOPE,1183628
CARNWOOD,3011350
SMOKY RIVER,3076025
LIVERPOOL BAY,220B68C
SLEEPY HOLLOW,3026009
MOOSEHORN COOK,5041804
KENORA A,6034076
DRYDEN REGIONAL,6032125
DANBURY,4082072
THOMPSON A,5062921
SASKATOON NATIONAL HYDROLOGY SNOW,4057157
ROLAND,5022480
KUGAARUK CLIMATE,2303094
FORT MACKAY RS,3062675
TWIN LAKES,3066FME
SHINING BANK RS,3065886
HAGUE,4053083
MEADOW LAKE,406N0NM
GULL LAKE,4023053
WEST POPLAR RIVER,4038740
CARMAN,5020551
SCOTT CS,4047241
WINNIPEG BROOKLANDS,5023180
ROSSBURN 4 NORTH,501KE01
WINISK A,6019550
SPLIT LAKE,5062751
BIRTLE,5010240
BACHELORS ISLAND MARINE,5040131
PLEASANTDALE,4086136
GRAND RAPIDS,5031110
FLINTOFT,4022540
NICHOLSON PENINSULA 1,2202754
MOLANOSA,4065255
DRYDEN A (AUT),6032120
SIOUX LOOKOUT A,6037776
MONCTON/GREATER MONCTON ROMEO LEBLANC INTL A,8103201
NEW GERMANY,8203800
HOYT BLISSVILLE,8102234
POINT ACONI,8204456
WILLIAMSBURG,8105580
STONY RAPIDS,4067795
BRIERCREST,4010840
MACOUN,4014870
O'LEARY,8300525
KOUCHIBOUGUAC,8102326
DURBAN ISLAND,2401060
ELMWOOD,8300425
GAGETOWN AWOS A,8101794
HUGHTON,4023360
VAL-MARIE EXP ST,4038410
INGEBRIGHT LAKE,4023500
DENZIL,4042188
FORK RIVER NORTH,5040R73
ONION LAKE,4045660
PLUM COULEE,5022245
PINAWA,503B1ER
BRIDGETOWN,8200596
TRURO,8205988
DICKIE BROOK,8201500
SYDNEY,8205698
OVERTON,8204197
ENDEAVOUR,4082374
LA RONGE RCS,4064149
SEDLEY,4017280
TURTLE MOUNTAIN 2,5012937
NORWAY HOUSE,5062045
PRINCE ALBERT WEYERHAEUSER SNOW,4056270
REGINA TRANSCONA,4016730
ISLAND FALLS 2,4063600
MYRTLE,5021975
SAINT JOHN MILLEDGEVILLE,810D9BC
CORNWALL,6101873
COOKVILLE,8101153
KEJIMKUJIK PARK,8202590
SOUTH BRANCH KEDGWICK,8105042
INVERNESS (AUT),8202550
WINNIPEG FED LAB,5023284
ELMA,5030869
STAR CITY CDA EPF,4057760
WINNIPEG WTC STAPON,5023283
CARMAN 3,5020N53
SHEARWATER A,8205090
EAST CANAAN,8101280
CHIPMAN,8101098
KINGSBORO SNOW,8300452
UPPER STEWIACKE SNOW,8204195
NORTHEAST MARGAREE,8204150
MEIGHEN ISLAND WEST,240BFQ9
EUREKA A,2401208
COWAN,5040FJ3
RED LAKE A,6016970
CLUFF LAKE AUTO,4061592
SASKATOON,4057118
MORELL SNOW,8300455
SEAL COVE,8403650
SAMBRO ISLAND,8205055
CHETICAMP HIGHLANDS NATIONAL PARK,8200828
YARMOUTH RCS,8206491
KIVITOO,2402675
DORCHESTER,6142066
PENOBSQUIS,8103860
PORT HAWKESBURY A,8204491
MIDDLE BROOK,8102950
SCHANZENFELD,5022623
PONTON,5062251
WITCHEKAN,4069010
NEEPAWA A,5042000
WAPELLA ST PAULS,4018511
